Year,Author,Novel
2021,Martha Wells*,Network Effect
2021,Rebecca Roanhorse,Black Sun
2021,N. K. Jemisin,The City We Became
2021,Tamsyn Muir,Harrow the Ninth
2021,Susanna Clarke,Piranesi
2021,Mary Robinette Kowal,The Relentless Moon
2022,Arkady Martine*,A Desolation Called Peace
2022,Becky Chambers,"The Galaxy, and the Ground Within"
2022,Ryka Aoki,Light From Uncommon Stars
2022,P. Djèlí Clark,A Master of Djinn
2022,Andy Weir,Project Hail Mary
2022,Shelley Parker-Chan,She Who Became the Sun
2023,Silvia Moreno-Garcia,The Daughter of Doctor Moreau
2023,John Scalzi,The Kaiju Preservation Society
2023,Travis Baldree,Legends & Lattes
2023,Tamsyn Muir,Nona the Ninth
2023,Ursula Vernon (as T. Kingfisher),Nettle & Bone
2023,Mary Robinette Kowal,The Spare Man
